36024_at,lacrimal proline rich protein
31508_at,"upregulated by 1,25-dihydroxyvitamin D-3"
41594_at,Janus kinase 1 (a protein tyrosine kinase)
34877_at," Cluster Incl AL039831:DKFZp434D1112_s1 Homo sapiens cDNA, 3 end /clone=DKFZp434D1112 /clone_end=3'' /gb=AL039831 /gi=5866713 /ug=Hs.50651 /len=579'' "
32597_at," Cluster Incl X76061:H.sapiens p130 mRNA for 130K protein /cds=(69,3488) /gb=X76061 /gi=416030 /ug=Hs.79362 /len=4835 "
40063_at,nuclear domain 10 protein
35828_at,cysteine-rich protein 2
33232_at," Cluster Incl AI017574:ou23f10.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-1627147 /clone_end=3'' /gb=AI017574 /gi=3231910 /ug=Hs.17409 /len=501'' "
40103_at,villin 2 (ezrin)
37378_r_at,lamin A/C
37377_i_at,lamin A/C
33900_at,follistatin-like 3 (secreted glycoprotein)
31432_g_at,"Fc fragment of IgG, receptor, transporter, alpha"
31431_at,"Fc fragment of IgG, receptor, transporter, alpha"
32588_s_at,butyrate response factor 2 (EGF-response factor 2)
32587_at,butyrate response factor 2 (EGF-response factor 2)
39031_at," Cluster Incl AA152406:zo07f01.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-567001 /clone_end=3'' /gb=AA152406 /gi=1718616 /ug=Hs.114346 /len=400'' "
32612_at,"gelsolin (amyloidosis, Finnish type)"
39170_at,Cluster Incl AL049957:Homo sapiens mRNA; cDNA DKFZp564J0323 (from clone DKFZp564J0323) /cds=UNKNOWN /gb=AL049957 /gi=4884209 /ug=Hs.99766 /len=2180
39351_at,"CD59 antigen p18-20 (antigen identified by monoclonal antibodies 16.3A5, EJ16, EJ30, EL32 and G344)"
1825_at,IQ motif containing GTPase activating protein 1
39714_at,SH3 domain binding glutamic acid-rich protein like
38354_at,"CCAAT/enhancer binding protein (C/EBP), beta"
339_at,caveolin 2
333_s_at,Single-Stranded Dna-Binding Protein Mssp-1
31671_at,"RNA binding motif, single stranded interacting protein 1, pseudogene"
33867_s_at,"RNA binding motif, single stranded interacting protein 1"
1737_s_at,insulin-like growth factor-binding protein 4
39781_at,insulin-like growth factor-binding protein 4
38652_at,Cluster Incl AF070644:Homo sapiens clone 24742 mRNA sequence /cds=UNKNOWN /gb=AF070644 /gi=3283917 /ug=Hs.10346 /len=1355
36937_s_at,PDZ and LIM domain 1 (elfin)
37022_at,proline arginine-rich end leucine-rich repeat protein
37906_at,latent transforming growth factor beta binding protein 2
37025_at," Cluster Incl AL120815:DKFZp762F172_r1 Homo sapiens cDNA, 5 end /clone=DKFZp762F172 /clone_end=5'' /gb=AL120815 /gi=5926816 /ug=Hs.76507 /len=627'' "
37024_at,LPS-induced TNF-alpha factor
404_at,interleukin 4 receptor
1776_at,Ras-related associated with diabetes
39528_at,Ras-related associated with diabetes
2031_s_at,"cyclin-dependent kinase inhibitor 1A (p21, Cip1)"
38772_at," Cluster Incl Y11307:H.sapiens CYR61 mRNA /cds=(223,1368) /gb=Y11307 /gi=2791897 /ug=Hs.8867 /len=2052 "
38299_at,"interleukin 6 (interferon, beta 2)"
875_g_at,M26683 /FEATURE= /DEFINITION=HUMIFNIND Human interferon gamma treatment inducible mRNA
34375_at,"small inducible cytokine A2 (monocyte chemotactic protein 1, homologous to mouse Sig-je)"
595_at,"tumor necrosis factor, alpha-induced protein 3"
277_at,myeloid cell leukemia sequence 1 (BCL2-related)
33146_at,myeloid cell leukemia sequence 1 (BCL2-related)
37028_at,growth arrest and DNA-damage-inducible 34
37026_at,core promoter element binding protein
39822_s_at,"growth arrest and DNA-damage-inducible, beta"
36669_at,FBJ murine osteosarcoma viral oncogene homolog B
40448_at,zinc finger protein homologous to Zfp-36 in mouse
1916_s_at,v-fos FBJ murine osteosarcoma viral oncogene homolog
1915_s_at,v-fos FBJ murine osteosarcoma viral oncogene homolog
2094_s_at,v-fos FBJ murine osteosarcoma viral oncogene homolog
1005_at,dual specificity phosphatase 1
2049_s_at,jun B proto-oncogene
36097_at,immediate early protein
32786_at,jun B proto-oncogene
280_g_at,"nuclear receptor subfamily 4, group A, member 1"
279_at,"nuclear receptor subfamily 4, group A, member 1"
789_at,early growth response 1
287_at,activating transcription factor 3
37701_at,"regulator of G-protein signalling 2, 24kD"
37187_at,GRO2 oncogene
32855_at,low density lipoprotein receptor (familial hypercholesterolemia)
1612_s_at,jun D proto-oncogene
41483_s_at,jun D proto-oncogene
41386_i_at,KIAA0346 protein
36711_at,chromosome 22 open reading frame 5
36979_at,"solute carrier family 2 (facilitated glucose transporter), member 3"
37394_at,complement component 7
33321_r_at,tryptase beta 1
32905_s_at,"tryptase, alpha"
1583_at,"tumor necrosis factor receptor superfamily, member 1B"
33813_at," Cluster Incl AI813532:wj83a09.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2409400 /clone_end=3'' /gb=AI813532 /gi=5424738 /ug=Hs.204298 /len=733'' "
39114_at,decidual protein induced by progesterone
1038_s_at,interferon gamma receptor 1
40202_at,basic transcription element binding protein 1
32780_at,KIAA0728 protein
38717_at,DKFZP586A0522 protein
34874_at,neuropathy target esterase
38338_at," Cluster Incl AI201108:qf69g07.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-1755324 /clone_end=3'' /gb=AI201108 /gi=3753714 /ug=Hs.9651 /len=756'' "
37307_at,"guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 2"
32166_at,KIAA1027 protein
36958_at,zyxin
34407_at,retinoic acid receptor responder (tazarotene induced) 2
38775_at,low density lipoprotein-related protein 1 (alpha-2-macroglobulin receptor)
38026_at,fibulin 1
39775_at,"serine (or cysteine) proteinase inhibitor, clade G (C1 inhibitor), member 1"
38653_at,peripheral myelin protein 22
1597_at,growth arrest-specific 6
1598_g_at,growth arrest-specific 6
37658_at,growth arrest-specific 6
32755_at,"actin, alpha 2, smooth muscle, aorta"
39145_at,"myosin regulatory light chain 2, smooth muscle isoform"
36931_at,transgelin
32847_at," Cluster Incl U48959:Homo sapiens myosin light chain kinase (MLCK) mRNA, complete cds /cds=(119,5863) /gb=U48959 /gi=1377819 /ug=Hs.211582 /len=5926 "
479_at,disabled (Drosophila) homolog 2 (mitogen-responsive phosphoprotein)
33891_at,Cluster Incl AL080061:Homo sapiens mRNA; cDNA DKFZp564H182 (from clone DKFZp564H182) /cds=UNKNOWN /gb=AL080061 /gi=5262465 /ug=Hs.25035 /len=1898
38119_at,glycophorin C (Gerbich blood group)
33790_at," Cluster Incl AI720438:as81g04.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2335158 /clone_end=3'' /gb=AI720438 /gi=5037694 /ug=Hs.20144 /len=550'' "
33295_at,Duffy blood group
38407_r_at," Cluster Incl AI207842:ao89h09.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-1953089 /clone_end=3'' /gb=AI207842 /gi=3769784 /ug=Hs.8272 /len=771'' "
216_at,"prostaglandin D2 synthase (21kD, brain)"
38406_f_at," Cluster Incl AI207842:ao89h09.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-1953089 /clone_end=3'' /gb=AI207842 /gi=3769784 /ug=Hs.8272 /len=771'' "
39220_at," Cluster Incl T92248:ye18d03.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-118085 /clone_end=3'' /gb=T92248 /gi=724161 /ug=Hs.2240 /len=531'' "
32052_at,"hemoglobin, beta"
31687_f_at,"hemoglobin, beta"
31525_s_at,"hemoglobin, alpha 2"
33158_at,Kallmann syndrome 1 sequence
36155_at,KIAA0275 gene product
33862_at,phosphatidic acid phosphatase type 2B
31856_at,glycoprotein A repetitions predominant
36577_at,mitogen inducible 2
40419_at,erythrocyte membrane protein band 7.2 (stomatin)
1897_at,"transforming growth factor, beta receptor III (betaglycan, 300kD)"
40739_at,carbonic anhydrase IV
770_at,glutathione peroxidase 3 (plasma)
37027_at,AHNAK nucleoprotein (desmoyokin)
32562_at,endoglin (Osler-Rendu-Weber syndrome 1)
38508_s_at,DIR1 protein
35730_at,"alcohol dehydrogenase 2 (class I), beta polypeptide"
32321_at,"major histocompatibility complex, class I, E"
38704_at,actin binding protein; macrophin (microfilament and actin filament cross-linker protein)
39541_at," Cluster Incl W52003:zc92e10.r1 Homo sapiens cDNA, 5 end /clone=IMAGE-338634 /clone_end=5'' /gb=W52003 /gi=1349727 /ug=Hs.10491 /len=570'' "
34320_at,Cluster Incl AL050224:Homo sapiens mRNA; cDNA DKFZp586L2123 (from clone DKFZp586L2123) /cds=UNKNOWN /gb=AL050224 /gi=4884466 /ug=Hs.29759 /len=1250
33328_at,Cluster Incl W28612:49b3 Homo sapiens cDNA /gb=W28612 /gi=1308560 /ug=Hs.184724 /len=809
38239_at," Cluster Incl AI312905:qp84d03.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-1929701 /clone_end=3'' /gb=AI312905 /gi=4018510 /ug=Hs.16762 /len=493'' "
1815_g_at,"transforming growth factor, beta receptor II (70-80kD)"
1814_at,"transforming growth factor, beta receptor II (70-80kD)"
39631_at,epithelial membrane protein 2
37398_at," Cluster Incl AA100961:zn40b06.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-549875 /clone_end=3'' /gb=AA100961 /gi=1647433 /ug=Hs.78146 /len=583'' "
268_at,platelet/endothelial cell adhesion molecule (CD31 antigen)
37196_at,"cadherin 5, type 2, VE-cadherin (vascular epithelium)"
36119_at,Cluster Incl AF070648:Homo sapiens clone 24651 mRNA sequence /cds=UNKNOWN /gb=AF070648 /gi=3283922 /ug=Hs.74034 /len=1313
32542_at,four and a half LIM domains 1
39066_at,microfibrillar-associated protein 4
33756_at,"amine oxidase, copper containing 3 (vascular adhesion protein 1)"
35985_at,A kinase (PRKA) anchor protein 2
34708_at,ficolin (collagen/fibrinogen domain-containing) 3 (Hakata antigen)
38177_at,receptor (calcitonin) activity modifying protein 2
36569_at,tetranectin (plasminogen-binding protein)
35868_at,advanced glycosylation end product-specific receptor
1596_g_at,"TEK tyrosine kinase, endothelial (venous malformations, multiple cutaneous and mucosal)"
39634_at,slit (Drosophila) homolog 2
607_s_at,von Willebrand factor
38995_at,claudin 5 (transmembrane protein deleted in velocardiofacial syndrome)
40841_at,"transforming, acidic coiled-coil containing protein 1"
38044_at,Cluster Incl AF035283:Homo sapiens clone 23916 mRNA sequence /cds=UNKNOWN /gb=AF035283 /gi=2661034 /ug=Hs.8022 /len=2022
40282_s_at,D component of complement (adipsin)
36627_at,"SPARC-like 1 (mast9, hevin)"
40560_at,T-box 2
37042_at,hyaluronoglucosaminidase 2
35152_at,receptor (calcitonin) activity modifying protein 3
33766_at,vasoactive intestinal peptide receptor 1
38430_at," Cluster Incl AA128249:zl29d09.r1 Homo sapiens cDNA, 5 end /clone=IMAGE-503345 /clone_end=5'' /gb=AA128249 /gi=1688343 /ug=Hs.83213 /len=648'' "
38691_s_at,"surfactant, pulmonary-associated protein C"
35183_at,"ATP-binding cassette, sub-family A (ABC1), member 3"
40456_at,Cluster Incl AL049963:Homo sapiens mRNA; cDNA DKFZp564A132 (from clone DKFZp564A132) /cds=UNKNOWN /gb=AL049963 /gi=4884213 /ug=Hs.16726 /len=1322
37168_at,similar to lysosome-associated membrane glycoprotein
31775_at,"surfactant, pulmonary-associated protein D"
39315_at,angiopoietin 1
32838_at," Cluster Incl S67247:smooth muscle myosin heavy chain isoform SMemb [human, umbilical cord, fetal aorta, mRNA Partial, 971 nt] /cds=(0,681) /gb=S67247 /gi=452986 /ug=Hs.2094 /len=971 "
40607_at,dihydropyrimidinase-like 2
33137_at,latent transforming growth factor beta binding protein 4
32227_at,"proteoglycan 1, secretory granule"
33283_at,"arrestin, beta 2"
307_at,arachidonate 5-lipoxygenase
1426_at,Src-like-adapter
677_s_at,"acid phosphatase 5, tartrate resistant"
34210_at," Cluster Incl N90866:zb11b10.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-301723 /clone_end=3'' /gb=N90866 /gi=1444193 /ug=Hs.214742 /len=577'' "
37684_at,"solute carrier family 21 (organic anion transporter), member 9"
38378_at,CD53 antigen
40518_at,"protein tyrosine phosphatase, receptor type, C"
37023_at,lymphocyte cytosolic protein 1 (L-plastin)
31438_s_at,CD163 antigen
36889_at,"Fc fragment of IgE, high affinity I, receptor for; gamma polypeptide"
38796_at,"complement component 1, q subcomponent, beta polypeptide"
37200_at," Cluster Incl J04162:Human leukocyte IgG receptor (Fc-gamma-R) mRNA, complete cds /cds=(17,718) /gb=J04162 /gi=183036 /ug=Hs.763 /len=1977 "
37759_at,Lysosomal-associated multispanning membrane protein-5
38363_at," Cluster Incl W60864:zd27g05.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-341912 /clone_end=3'' /gb=W60864 /gi=1367661 /ug=Hs.9963 /len=541'' "
33390_at," Cluster Incl AA203487:zx53d03.r1 Homo sapiens cDNA, 5 end /clone=IMAGE-446213 /clone_end=5'' /gb=AA203487 /gi=1799460 /ug=Hs.226237 /len=863'' "
925_at,"interferon, gamma-inducible protein 30"
39728_at,"interferon, gamma-inducible protein 30"
37148_at,"leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 3"
37233_at,oxidised low density lipoprotein (lectin-like) receptor 1
36908_at,"mannose receptor, C type 1"
37099_at," Cluster Incl AI806222:wf26e10.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2356746 /clone_end=3'' /gb=AI806222 /gi=5392788 /ug=Hs.100194 /len=563'' "
37976_at,Ig superfamily protein
40331_at,macrophage receptor with collagenous structure
39182_at,epithelial membrane protein 3
32035_at," Cluster Incl M16942:Human MHC class II HLA-DRw53-associated glycoprotein beta- chain mRNA, complete cds /cds=(28,828) /gb=M16942 /gi=188352 /ug=Hs.155122 /len=1141 "
32773_at," Cluster Incl AA868382:ak41e04.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-1408542 /clone_end=3'' /gb=AA868382 /gi=2963827 /ug=Hs.198253 /len=936'' "
41609_at,"major histocompatibility complex, class II, DM beta"
36878_f_at,"major histocompatibility complex, class II, DQ beta 1"
36773_f_at," Cluster Incl M81141:Human MHC class II HLA-DQ-beta mRNA (DR7 DQw2), complete cds /cds=(35,820) /gb=M81141 /gi=188202 /ug=Hs.73933 /len=1171 "
37344_at,"major histocompatibility complex, class II, DM alpha"
38096_f_at,"major histocompatibility complex, class II, DP beta 1"
38833_at," Cluster Incl X00457:Human mRNA for SB classII histocompatibility antigen alpha-chain /cds=(0,702) /gb=X00457 /gi=36405 /ug=Hs.914 /len=1048 "
35016_at," Cluster Incl M13560:Human Ia-associated invariant gamma-chain gene /cds=(795,1493) /gb=M13560 /gi=184518 /ug=Hs.84298 /len=2080 "
38095_i_at,"major histocompatibility complex, class II, DP beta 1"
37039_at,"major histocompatibility complex, class II, DR alpha"
41723_s_at,"major histocompatibility complex, class II, DR beta 1"
37918_at,"integrin, beta 2 (antigen CD18 (p95), lymphocyte function-associated antigen 1; macrophage antigen 1 (mac-1) beta subunit)"
41198_at,granulin
33261_at," Cluster Incl M16941:Human MHC class II HLA-DR7-associated glycoprotein beta- chain mRNA, complete cds /cds=(23,823) /gb=M16941 /gi=188257 /ug=Hs.180255 /len=1146 "
35926_s_at,"leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 1"
34091_s_at,vimentin
38110_at,syndecan binding protein (syntenin)
1370_at,interleukin 7 receptor
36227_at," Cluster Incl AF043129:untitled /cds=(0,1379) /gb=AF043129 /gi=3978161 /ug=Hs.238966 /len=1877 "
36495_at,"fructose-1,6-bisphosphatase 1"
34363_at,"selenoprotein P, plasma, 1"
38968_at,SH3-domain binding protein 5 (BTK-associated)
35282_r_at,CD81 antigen (target of antiproliferative antibody 1)
35625_at,CD97 antigen
38700_at,cysteine and glycine-rich protein 1
33833_at,"spectrin, alpha, non-erythrocytic 1 (alpha-fodrin)"
36452_at,synaptopodin
538_at,CD34 antigen
38747_at,CD34 antigen
38113_at,synaptic nuclei expressed gene 1b
39681_at,"zinc finger protein 145 (Kruppel-like, expressed in promyelocytic leukemia)"
41634_at,KIAA0256 gene product
37811_at,"calcium channel, voltage-dependent, alpha 2/delta subunit 2"
37009_at," Cluster Incl AL035079:dJ53C18.1 (Catalase) /cds=(74,1657) /gb=AL035079 /gi=4775614 /ug=Hs.76359 /len=2287 "
32747_at,"aldehyde dehydrogenase 2, mitochondrial"
32527_at," Cluster Incl AI381790:te41h10.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2089315 /clone_end=3'' /gb=AI381790 /gi=4194571 /ug=Hs.74120 /len=544'' "
37951_at,deleted in liver cancer 1
39350_at,glypican 3
40936_at," Cluster Incl AI651806:wb55f10.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2309611 /clone_end=3'' /gb=AI651806 /gi=4735797 /ug=Hs.19280 /len=609'' "
36156_at,"aquaporin 1 (channel-forming integral protein, 28kD)"
1368_at,"interleukin 1 receptor, type I"
40771_at," Cluster Incl Z98946:Human DNA sequence from clone 376D21 on chromosome Xq11.1-12 Contains the MSN gene for Moesin (Membrane-organizing Extension Spike protein), ESTs, STSs, GSSs, genomic marker DXS8029 and a putative CpG island /cds=(170,1903) /gb=Z98946 "
1394_at,"ras homolog gene family, member A"
37309_at,"ras homolog gene family, member A"
40570_at,forkhead box O1A (rhabdomyosarcoma)
35783_at," Cluster Incl H93123:yv05g07.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-241884 /clone_end=3'' /gb=H93123 /gi=1099451 /ug=Hs.66708 /len=582'' "
32145_at,adducin 1 (alpha)
35336_at,KIAA0668 protein
39057_at,kinesin 2 (60-70kD)
767_at,"myosin, heavy polypeptide 11, smooth muscle"
37407_s_at,"myosin, heavy polypeptide 11, smooth muscle"
774_g_at,"myosin, heavy polypeptide 11, smooth muscle"
32582_at,"myosin, heavy polypeptide 11, smooth muscle"
38812_at," Cluster Incl X79683:H.sapiens LAMB2 mRNA for beta2 laminin /cds=(165,5561) /gb=X79683 /gi=663206 /ug=Hs.90291 /len=5673 "
36630_at,"delta sleep inducing peptide, immunoreactor"
36629_at," Cluster Incl AI635895:tz82a07.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2295060 /clone_end=3'' /gb=AI635895 /gi=4687225 /ug=Hs.75450 /len=1082'' "
1334_s_at,colony stimulating factor 3 (granulocyte)
37536_at,"CD83 antigen (activated B lymphocytes, immunoglobulin superfamily)"
35842_at,Cluster Incl AL049265:Homo sapiens mRNA; cDNA DKFZp564F053 (from clone DKFZp564F053) /cds=UNKNOWN /gb=AL049265 /gi=4500013 /ug=Hs.71968 /len=2850
1035_g_at,"tissue inhibitor of metalloproteinase 3 (Sorsby fundus dystrophy, pseudoinflammatory)"
1034_at,"tissue inhibitor of metalloproteinase 3 (Sorsby fundus dystrophy, pseudoinflammatory)"
34224_at,flap structure-specific endonuclease 1
36638_at,connective tissue growth factor
133_at,cathepsin C
766_at,"lectin, galactoside-binding, soluble, 9 (galectin 9)"
38091_at,"lectin, galactoside-binding, soluble, 9 (galectin 9)"
38893_at,neutrophil cytosolic factor 4 (40kD)
39061_at,bone marrow stromal cell antigen 2
38517_at,"interferon-stimulated transcription factor 3, gamma (48kD)"
195_s_at,"caspase 4, apoptosis-related cysteine protease"
31481_s_at,"thymosin, beta 10"
1456_s_at,"interferon, gamma-inducible protein 16"
33866_at,tropomyosin 4
32775_r_at,phospholipid scramblase 1
35271_at,"ARP3 (actin-related protein 3, yeast) homolog"
38392_at,"actin related protein 2/3 complex, subunit 5 (16 kD)"
40953_at,"calponin 3, acidic"
37747_at,annexin A5
37685_at,Clathrin assembly lymphoid-myeloid leukemia gene
40910_at,"capping protein (actin filament) muscle Z-line, alpha 1"
1405_i_at,small inducible cytokine A5 (RANTES)
1403_s_at,small inducible cytokine A5 (RANTES)
384_at,"proteasome (prosome, macropain) subunit, beta type, 10"
1184_at,"proteasome (prosome, macropain) activator subunit 2 (PA28 beta)"
41171_at,"proteasome (prosome, macropain) activator subunit 2 (PA28 beta)"
40505_at," Cluster Incl AA883502:am25h07.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-1467901 /clone_end=3'' /gb=AA883502 /gi=2993032 /ug=Hs.169895 /len=939'' "
40153_at,"ATP-binding cassette, sub-family B (MDR/TAP), member 2"
38287_at,Cluster Incl AA808961:nw16h03.s1 Homo sapiens cDNA /clone=IMAGE-1240661 /gb=AA808961 /gi=2878367 /ug=Hs.9280 /len=729
AFFX-HUMISGF3A/M97935_MB_at,"signal transducer and activator of transcription 1, 91kD"
33339_g_at,Cluster Incl M97936:Human transcription factor ISGF-3 mRNA sequence /cds=UNKNOWN /gb=M97936 /gi=475254 /ug=Hs.21486 /len=2607
AFFX-HUMISGF3A/M97935_MA_at,"signal transducer and activator of transcription 1, 91kD"
32860_g_at,"signal transducer and activator of transcription 1, 91kD"
AFFX-HUMISGF3A/M97935_3_at,"signal transducer and activator of transcription 1, 91kD"
33338_at,Cluster Incl M97936:Human transcription factor ISGF-3 mRNA sequence /cds=UNKNOWN /gb=M97936 /gi=475254 /ug=Hs.21486 /len=2607
35735_at,"guanylate binding protein 1, interferon-inducible, 67kD"
37219_at,monokine induced by gamma interferon
38121_at,tryptophanyl-tRNA synthetase
669_s_at,interferon regulatory factor 1
41237_at,"major histocompatibility complex, class I, A"
37420_i_at,"major histocompatibility complex, class I, F"
35017_f_at,"major histocompatibility complex, class I, J (pseudogene)"
37383_f_at," Cluster Incl X58536:Human mRNA for HLA class I locus C heavy chain /cds=(15,1115) /gb=X58536 /gi=32234 /ug=Hs.77961 /len=1549 "
37421_f_at,"major histocompatibility complex, class I, F"
40370_f_at,"HLA-G histocompatibility antigen, class I, G"
40369_f_at,"major histocompatibility complex, class I, F"
428_s_at,V00567 /FEATURE=cds /DEFINITION=HSMGLO Human messenger RNA fragment for the beta-2 microglobulin
34644_at,beta-2-microglobulin
201_s_at," S82297 /FEATURE= /DEFINITION=S82297 beta 2-microglobulin {11bp deleted between nucleotides 98-99} [human, colon cancer cell line HCT, mRNA Mutant, 416 nt] "
34056_g_at,"activin A receptor, type IB"
32629_f_at,"butyrophilin, subfamily 3, member A1"
38391_at,"capping protein (actin filament), gelsolin-like"
608_at,apolipoprotein E
41764_at," Cluster Incl AA976838:oq35c12.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-1588342 /clone_end=3'' /gb=AA976838 /gi=3154284 /ug=Hs.182778 /len=468'' "
37391_at,cathepsin L
36661_s_at,CD14 antigen
37542_at,lipoma HMGIC fusion partner-like 2
36753_at,"leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 4"
39994_at,chemokine (C-C motif) receptor 1
32128_at,"small inducible cytokine subfamily A (Cys-Cys), member 18, pulmonary and activation-regulated"
38745_at,"lipase A, lysosomal acid, cholesterol esterase (Wolman disease)"
35820_at,GM2 ganglioside activator protein
464_s_at,interferon-induced protein 35
36493_at,lymphocyte-specific protein 1
31820_at,hematopoietic cell-specific Lyn substrate 1
32736_at," Cluster Incl W68830:zd37g06.r1 Homo sapiens cDNA, 5 end /clone=IMAGE-342874 /clone_end=5'' /gb=W68830 /gi=1377739 /ug=Hs.173466 /len=614'' "
41166_at,immunoglobulin heavy constant mu
38976_at,"coronin, actin-binding protein, 1A"
1105_s_at,T cell receptor beta locus
32794_g_at," Cluster Incl X00437:Human mRNA for T-cell specific protein /cds=(37,975) /gb=X00437 /gi=36748 /ug=Hs.2003 /len=1151 "
32793_at," Cluster Incl X00437:Human mRNA for T-cell specific protein /cds=(37,975) /gb=X00437 /gi=36748 /ug=Hs.2003 /len=1151 "
31870_at,CD37 antigen
1106_s_at,T cell receptor alpha locus
649_s_at,"chemokine (C-X-C motif), receptor 4 (fusin)"
36575_at,regulator of G-protein signalling 1
34311_at,glutaredoxin (thioltransferase)
1665_s_at,Endothelial Cell Growth Factor 1
36879_at,endothelial cell growth factor 1 (platelet-derived)
39119_s_at,Cluster Incl AA631972:fmfc39 Homo sapiens cDNA /clone=CR7-5 /gb=AA631972 /gi=2554583 /ug=Hs.943 /len=896
231_at,"transglutaminase 2 (C polypeptide, protein-glutamine-gamma-glutamyltransferase)"
38404_at,"transglutaminase 2 (C polypeptide, protein-glutamine-gamma-glutamyltransferase)"
38964_r_at,Wiskott-Aldrich syndrome (eczema-thrombocytopenia)
33236_at,retinoic acid receptor responder (tazarotene induced) 3
41168_at,TAP binding protein (tapasin)
38487_at,KIAA0246 protein
38052_at,"coagulation factor XIII, A1 polypeptide"
40081_at,phospholipid transfer protein
31557_at,"thymosin, beta 4, X chromosome"
33919_at,transmembrane 4 superfamily member 7
38438_at,nuclear factor of kappa light polypeptide gene enhancer in B-cells 1 (p105)
41382_at,deleted in malignant brain tumors 1
1117_at,cytidine deaminase
1975_s_at,insulin-like growth factor 1 (somatomedin C)
33802_at,minichromosome maintenance deficient (S. cerevisiae) 5 (cell division cycle 46)
588_at,"protein tyrosine phosphatase, non-receptor type 1"
38374_at,TGFB inducible early growth response
40790_at,"basic helix-loop-helix domain containing, class B, 2"
675_at,interferon induced transmembrane protein 1 (9-27)
676_g_at,interferon induced transmembrane protein 1 (9-27)
41745_at,interferon induced transmembrane protein 3 (1-8U)
411_i_at,interferon induced transmembrane protein 2 (1-8D)
39019_at,lysosomal-associated protein transmembrane 4 alpha
38963_i_at,Wiskott-Aldrich syndrome (eczema-thrombocytopenia)
32514_s_at,cathepsin Z
36103_at,small inducible cytokine A3 (homologous to mouse Mip-1a)
596_s_at,colony stimulating factor 3 receptor (granulocyte)
34223_at,colony stimulating factor 3 receptor (granulocyte)
34965_at,cystatin F (leukocystatin)
40268_at,FOS-like antigen 2
883_s_at,pim-1 oncogene
1779_s_at,pim-1 oncogene
39640_at,glutamine-fructose-6-phosphate transaminase 2
39360_at,sorting nexin 3
880_at,FK506-binding protein 1A (12kD)
953_g_at," Fk506-Binding Protein, Alt. Splice 2 "
232_at,"laminin, gamma 1 (formerly LAMB2)"
859_at,"cytochrome P450, subfamily I (dioxin-inducible), polypeptide 1 (glaucoma 3, primary infantile)"
40071_at,"cytochrome P450, subfamily I (dioxin-inducible), polypeptide 1 (glaucoma 3, primary infantile)"
1042_at,retinoic acid receptor responder (tazarotene induced) 1
33505_at," Cluster Incl AI887421:wm05c01.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2435040 /clone_end=3'' /gb=AI887421 /gi=5592585 /ug=Hs.32943 /len=666'' "
33825_at,"serine (or cysteine) proteinase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3"
37002_at,biliverdin reductase B (flavin reductase (NADPH))
38631_at,"tumor necrosis factor, alpha-induced protein 2"
36804_at,"indoleamine-pyrrole 2,3 dioxygenase"
40963_at,"ATP-binding cassette, sub-family A (ABC1), member 4"
39959_at,"gamma-aminobutyric acid (GABA) B receptor, 1"
36675_r_at,profilin 1
35272_at," Cluster Incl AI541042:pec1.2-1.D12.r Homo sapiens cDNA, 5 end /clone_end=5'' /gb=AI541042 /gi=4458415 /ug=Hs.5322 /len=688'' "
36619_r_at,"inhibitor of DNA binding 1, dominant negative helix-loop-helix protein"
36618_g_at,"inhibitor of DNA binding 1, dominant negative helix-loop-helix protein"
36617_at,"inhibitor of DNA binding 1, dominant negative helix-loop-helix protein"
37043_at,E2F transcription factor 2
34378_at,adipose differentiation-related protein
34651_at,catechol-O-methyltransferase
40290_f_at,"sialyltransferase 4A (beta-galactosidase alpha-2,3-sialytransferase)"
38671_at,KIAA0620 protein
40210_at,"RAB13, member RAS oncogene family"
905_at,guanylate kinase 1
1790_s_at,Cell Division Cycle Protein 2-Related Protein Kinase (Pisslre)
39062_at,protective protein for beta-galactosidase (galactosialidosis)
